City,Period,Temperature,Status,state
AGUA BOA,2019-01,26.0,Perfect,MT
AGUA BOA,2019-02,25.0,Perfect,MT
AGUA BOA,2019-03,26.0,Perfect,MT
AGUA BOA,2019-04,26.0,Perfect,MT
AGUA BOA,2019-05,27.0,Perfect,MT
AGUA BOA,2019-06,27.0,Perfect,MT
AGUA BOA,2019-07,28.0,Perfect,MT
AGUA BOA,2019-08,31.0,Perfect,MT
AGUA BOA,2019-09,32.0,Perfect,MT
AGUA BOA,2019-10,30.0,Perfect,MT
AGUA BOA,2019-11,28.0,Perfect,MT
AGUA BOA,2019-12,27.0,Perfect,MT
AGUA BOA,2020-01,26.0,Perfect,MT
AGUA BOA,2020-02,26.0,Perfect,MT
AGUA BOA,2020-03,26.0,Perfect,MT
AGUA BOA,2020-04,27.0,Perfect,MT
AGUA BOA,2020-05,27.0,Perfect,MT
AGUA BOA,2020-06,29.0,Perfect,MT
AGUA BOA,2020-07,29.0,Perfect,MT
AGUA BOA,2020-08,28.0,Perfect,MT
AGUA BOA,2020-09,28.0,Perfect,MT
AGUA BOA,2020-10,28.0,Perfect,MT
AGUA BOA,2020-11,29.0,Perfect,MT
AGUA BOA,2020-12,28.0,Perfect,MT
AGUA BOA,2021-01,27.0,Perfect,MT
AGUA BOA,2021-02,26.0,Perfect,MT
AGUA BOA,2021-03,27.0,Perfect,MT
AGUA BOA,2021-04,28.0,Perfect,MT
AGUA BOA,2021-05,27.0,Perfect,MT
AGUA BOA,2021-06,27.0,Perfect,MT
AGUA BOA,2021-07,27.0,Perfect,MT
AGUA BOA,2021-08,27.0,Perfect,MT
AGUA BOA,2021-09,27.0,Perfect,MT
AGUA BOA,2021-10,27.0,Perfect,MT
AGUA BOA,2021-11,27.0,Perfect,MT
AGUA BOA,2021-12,27.0,Perfect,MT
AGUA BOA,2022-01,26.0,Perfect,MT
AGUA BOA,2022-02,26.0,Perfect,MT
AGUA BOA,2022-03,26.0,Perfect,MT
AGUA BOA,2022-04,26.0,Perfect,MT
AGUA BOA,2022-05,24.0,Regular,MT
