City,Period,Temperature,Status,state
ABROLHOS,2019-01,27.0,Perfect,BA
ABROLHOS,2019-02,28.0,Perfect,BA
ABROLHOS,2019-03,28.0,Perfect,BA
ABROLHOS,2019-04,28.0,Perfect,BA
ABROLHOS,2019-05,27.0,Perfect,BA
ABROLHOS,2019-06,25.0,Perfect,BA
ABROLHOS,2019-07,24.0,Regular,BA
ABROLHOS,2019-08,24.0,Regular,BA
ABROLHOS,2019-09,25.0,Perfect,BA
ABROLHOS,2019-10,25.0,Perfect,BA
ABROLHOS,2019-11,26.0,Perfect,BA
ABROLHOS,2019-12,27.0,Perfect,BA
ABROLHOS,2020-01,26.0,Perfect,BA
ABROLHOS,2020-02,27.0,Perfect,BA
ABROLHOS,2020-03,27.0,Perfect,BA
ABROLHOS,2020-04,26.0,Perfect,BA
ABROLHOS,2020-05,25.0,Perfect,BA
ABROLHOS,2020-06,25.0,Perfect,BA
ABROLHOS,2020-07,25.0,Perfect,BA
ABROLHOS,2020-08,24.0,Regular,BA
ABROLHOS,2020-09,25.0,Perfect,BA
ABROLHOS,2020-10,25.0,Perfect,BA
ABROLHOS,2020-11,26.0,Perfect,BA
ABROLHOS,2020-12,26.0,Perfect,BA
ACARAU,2019-01,27.0,Perfect,CE
ACARAU,2019-02,26.0,Perfect,CE
ACARAU,2019-03,25.0,Perfect,CE
ACARAU,2019-04,26.0,Perfect,CE
ACARAU,2019-05,27.0,Perfect,CE
ACARAU,2019-06,27.0,Perfect,CE
ACARAU,2019-07,26.0,Perfect,CE
ACARAU,2019-08,27.0,Perfect,CE
ACARAU,2019-09,27.0,Perfect,CE
ACARAU,2019-10,27.0,Perfect,CE
ACARAU,2019-11,28.0,Perfect,CE
ACARAU,2019-12,28.0,Perfect,CE
ACARAU,2022-01,27.0,Perfect,CE
ACARAU,2022-02,27.0,Perfect,CE
ACARAU,2022-03,27.0,Perfect,CE
ACARAU,2022-04,27.0,Perfect,CE
ACARAU,2022-05,27.0,Perfect,CE
ACARAU,2022-06,27.0,Perfect,CE
ACARAU,2022-07,27.0,Perfect,CE
ACARAU,2022-08,27.0,Perfect,CE
ACARAU,2022-09,27.0,Perfect,CE
ACARAU,2022-10,28.0,Perfect,CE
ACARAU,2022-11,27.0,Perfect,CE
ACARAU,2022-12,27.0,Perfect,CE
ACARAU,2023-01,27.0,Perfect,CE
ACARAU,2023-02,27.0,Perfect,CE
ACARAU,2023-03,26.0,Perfect,CE
ACARAU,2023-04,26.0,Perfect,CE
ACARAU,2023-05,27.0,Perfect,CE
ACARAU,2023-06,27.0,Perfect,CE
ACARAU,2023-07,27.0,Perfect,CE
ACARAU,2023-08,27.0,Perfect,CE
